NomeComp;percentage20_Donald_Trump;percentage20_Joe_Biden;cases;deaths;TotalPop;IncomePerCap;Poverty;ChildPoverty;Unemployment;population_density_per_sqmi;percent_no_highschool_diploma;percent_age_65_and_older;percent_rural;percent_smokers;percent_adults_with_obesity;percent_physically_inactive;percent_excessive_drinking;life_expectancy;percent_adults_with_diabetes;percent_food_insecure;violent_crime_rate;homicide_rate
Iowa Bremer;0.57;0.41;790;9;24741;32105;7.7;7.7;3.6;566342000000000;4.7;18.5;6448755973;14066598691;32.7;21.8;21650084153;8223970025;8.2;9;37754896023;NA
Iowa Buchanan;0.596;0.387;554;5;21101;30974;7.8;9.1;3.2;36830600000000;7.7;16.7;68537074148;1615845209;32.7;30.5;2128346059;78946765503;8.7;9.5;4753303546;NA
Iowa Buena Vista;0.62;0.362;2356;12;20369;26345;13.7;21.5;4.9;355626000000000;21.8;14.5;43909180652;1487408803;33.7;23.9;18596794979;81385700556;9.3;8.8;31095887083;NA
Iowa Butler;0.686;0.3;437;3;14822;28584;9.4;14.1;3.2;257407000000000;8.1;21.2;100;15070330538;33.3;27.9;20835718649;78669069145;11.1;10.3;10008340284;NA
Iowa Calhoun;0.703;0.28;348;4;9814;27370;15.3;21.3;2.3;173310000000000;7.8;22.5;100;16551356118;36;30.8;1954371962;78548014794;10.9;12;4586688411;NA
Iowa Carroll;0.684;0.306;1264;13;20428;29191;10.3;12.8;2.5;360971000000000;7.1;19.2;52036894696;15261250857;33.9;25.6;20637542552;79880601713;10.1;10.1;63440938926;NA
Iowa Cass;0.684;0.303;498;4;13327;26427;15.1;25.1;2.5;238060000000000;9.7;21.4;53632846088;17266042533;33.7;21.9;18261944335;7663205487;9.6;12.6;23835238911;NA
Iowa Cedar;0.576;0.405;551;8;18368;30362;5.4;2.6;3;317361000000000;6.6;18.2;83420725445;14076980793;34.7;28.4;22355551935;82110875451;5.4;8.7;95417245986;NA
Iowa Cerro Gordo;0.523;0.46;1603;27;43134;31292;11.3;13.4;4.1;761979000000000;6.7;19.7;20592965052;16345733358;30;20.9;21650546609;78398395705;10.9;11.1;13331014896;39688183174
Iowa Cherokee;0.691;0.298;446;2;11577;30973;11.9;18.4;3.3;203707000000000;9.4;22.7;61381709742;16513485611;35.1;27.3;18798518714;79956315384;13.8;10.3;17540106952;NA
Iowa Chickasaw;0.651;0.337;393;1;12140;27973;8.9;11.3;2.5;241167000000000;9.7;19.1;73534850068;15791497674;30.2;22.5;20668435951;79307372656;8.5;10;17259091843;NA
Iowa Clarke;0.673;0.314;368;3;9267;25879;15.4;24;4.4;215068000000000;9.3;17.6;48104673702;17179426684;36.6;27.6;19729021106;76259682985;11.7;10.9;13989776702;NA
Iowa Clay;0.686;0.297;595;4;16387;28514;11.8;18.1;3.4;290496000000000;6.8;19.3;34289314214;15864480885;35;20.7;20514520735;81506296308;11.7;11.8;14872822194;NA
Iowa Clayton;0.637;0.349;568;3;17711;27719;10.4;14.3;3;227810000000000;9;21;96596613161;15446725236;36;24.4;20388365035;8130166476;7.1;11.1;5955588327;NA
Iowa Clinton;0.541;0.438;1652;29;47587;28091;13.1;17.2;4.2;690326000000000;8.4;18.3;32233895268;17125421189;33.3;28.4;20299255627;77861759113;11.9;12.1;48446374875;NA
Iowa Crawford;0.679;0.311;1415;15;17131;27270;18.5;24.1;6.2;240090000000000;21.5;16.6;51801591015;16880161691;33.3;27.3;18302132761;79204646149;12.4;9.8;58637269849;NA
Iowa Dallas;0.501;0.481;3776;49;80864;42417;5.4;5.2;2.4;132688000000000;4.5;11.3;30585922734;13494258416;28.6;20.9;23455442679;82103779937;7.9;7.6;19194337983;NA
Iowa Davis;0.74;0.247;212;4;8834;25747;13.7;18.1;3.5;174596000000000;13.3;17.3;100;16607978027;25.6;23.4;19343506043;79142014204;13;11;11352026337;NA
Iowa Decatur;0.688;0.295;177;0;8105;21110;19.1;23.9;5;154358000000000;13.1;18.6;100;18177573797;40.4;28.9;18932392507;77712871659;18.2;13.6;NA;NA
Iowa Delaware;0.668;0.316;883;15;17326;30768;9.2;14.2;2.5;301944000000000;9.3;18;71470389552;15672321771;32.8;26.8;21982018655;81206146468;9.1;9.3;14650120648;NA
Iowa Des Moines;0.531;0.446;1644;11;39876;27168;15.3;23.8;5.6;964029000000000;7.8;18.8;26735275883;18690601423;36.9;27.1;19491552441;78539550612;12.8;13.4;51756236813;57260650481
Iowa Dickinson;0.662;0.326;846;9;17000;36588;8.1;9.2;3;447865000000000;4.4;24;35045299094;1524827327;27.7;22.4;19627872381;81190815436;11.8;10;1314329108;NA
Iowa Dubuque;0.505;0.476;5849;61;96571;30117;11.9;15.8;3.9;158407000000000;7.7;16.2;27016753334;16403689039;33.5;26.3;23997575682;80505512338;7.1;11.2;21033963665;16291782869
Iowa Emmet;0.673;0.313;474;21;9661;29396;13.8;18.5;3.9;248054000000000;10.4;19.7;39895165987;1797383965;40.1;26.4;19106311881;7838788115;6.5;10.4;39281705948;NA
Iowa Fayette;0.603;0.376;453;4;20139;27020;12.8;17.2;3.5;279012000000000;10.2;20.5;70579501916;15910849565;33.9;32.6;20649709457;78549102497;12.9;11.6;27860647452;NA
Iowa Floyd;0.589;0.395;485;11;15904;28323;15.6;27;2.7;31967600000000;11;21.2;52732625897;15947325464;40.7;29.2;19000282914;79846134584;8.6;12.3;1753507014;NA
Iowa Franklin;0.668;0.318;412;18;10326;25248;15.6;26.1;4.6;178582000000000;11.4;19.8;60243445693;1670181748;45.1;29.8;18704590572;79157170999;15.6;10.6;NA;NA
Iowa Fremont;0.703;0.28;224;2;6985;29813;11;16.2;3.1;13732500000000;7.9;21.5;100;15579271732;32.7;26.9;18828306572;7750304258;10.1;10.3;39735099338;NA
Iowa Greene;0.637;0.35;209;0;9046;27968;10;11.7;6.2;159471000000000;7.2;21.1;58161953728;14845694693;41.2;34.3;19598322719;78176654959;19.1;10.2;76838638858;NA
Iowa Grundy;0.679;0.304;375;6;12354;35662;5.8;4.4;2.9;246546000000000;4.6;19.7;100;13523542151;31.1;24;21050153727;79633436224;8.9;8.7;9709916252;NA
Iowa Guthrie;0.671;0.312;427;15;10664;30646;10.1;11.4;3.5;181013000000000;7.9;21.3;100;1506224817;33.6;36.5;20661485878;81625580612;7.5;9.9;32939626371;NA
Iowa Hamilton;0.582;0.334;504;5;15201;27963;9.4;11.7;2.3;264014000000000;7.8;19.4;50481720156;15113201215;33.1;24.6;19628467616;7933181391;12.2;10.1;21092874563;NA
Iowa Hancock;0.713;0.273;410;6;10971;29147;9.1;12;1.7;19274800000000;7.3;20.3;70020280399;14498356239;34.1;23.1;20529738229;81509212909;6.3;9.4;11749819234;NA
Iowa Hardin;0.652;0.332;551;7;17239;28445;8;9.9;2.5;304298000000000;8.3;21;71084749629;15370665206;42.1;24.2;19378256258;80187988429;12.8;9.8;10608424337;NA
